,date,ticker,instrument_name,open,high,low,close,agg_close
196,2019-01-01 00:00:00,BANKNIFTY31JAN1927200PE.NFO,BANKNIFTY,399.0,479.05,278.5,297.45,312.05
197,2019-01-01 00:00:00,BANKNIFTY31JAN1927300CE.NFO,BANKNIFTY,483.85,555.0,371.0,544.9,543.97
198,2019-01-01 00:00:00,BANKNIFTY31JAN1927300PE.NFO,BANKNIFTY,459.95,521.35,330.0,330.0,350.23
199,2019-01-01 00:00:00,BANKNIFTY31JAN1927400CE.NFO,BANKNIFTY,401.0,504.45,317.65,501.0,487.09
200,2019-01-01 00:00:00,BANKNIFTY31JAN1927400PE.NFO,BANKNIFTY,534.6,566.9,375.0,376.0,384.66
201,2019-01-01 00:00:00,BANKNIFTY31JAN1927500CE.NFO,BANKNIFTY,363.55,442.9,280.0,442.75,432.43
202,2019-01-01 00:00:00,BANKNIFTY31JAN1927500PE.NFO,BANKNIFTY,538.35,624.0,405.0,411.0,425.37
203,2019-01-01 00:00:00,BANKNIFTY31JAN1927600CE.NFO,BANKNIFTY,302.0,390.0,238.0,389.0,381.08
204,2019-01-01 00:00:00,BANKNIFTY31JAN1927600PE.NFO,BANKNIFTY,606.0,660.0,451.0,469.45,473.09
205,2019-01-01 00:00:00,BANKNIFTY31JAN1927700CE.NFO,BANKNIFTY,266.5,343.75,207.7,340.15,335.97
206,2019-01-01 00:00:00,BANKNIFTY31JAN1927700PE.NFO,BANKNIFTY,699.55,699.55,523.0,523.0,523.0
207,2019-01-01 00:00:00,BANKNIFTY31JAN1927800CE.NFO,BANKNIFTY,235.45,304.25,179.95,292.1,294.91
208,2019-01-01 00:00:00,BANKNIFTY31JAN1927800PE.NFO,BANKNIFTY,760.8,760.8,588.0,588.0,588.0
